12345,Leo,Ingenieria en Sistemas,5,180,240
23456,David,Robotica,2,70,80
34567,Carlo,Datos,7,250,440
45678,Ana,Ingenieria Industrial,6,200,100
56789,Sofia,Sistemas Computacionales,8,260,400
67890,Mateo,Mecatronica,3,90,50
78901,Valeria,Biomedica,7,240,120
89012,Gabriel,Datos,4,130,200
90123,Camila,Robotica,8,270,480
11223,Santiago,Ingenieria en Sistemas,1,30,0
12345,Leo,Ingenieria en Sistemas,5,180,240
23456,David,Robotica,2,70,80
34567,Carlo,Datos,7,250,440
45678,Ana,Ingenieria Industrial,6,200,100
56789,Sofia,Sistemas Computacionales,8,260,400
67890,Mateo,Mecatronica,3,90,50
78901,Valeria,Biomedica,7,240,120
89012,Gabriel,Datos,4,130,200
90123,Camila,Robotica,8,270,480
11223,Santiago,Ingenieria en Sistemas,1,30,0
